repetition,Temp ,PPFD,gs,medlyn
1,10,600,0.229125924,0.023418742
1,10,400,0.23871008,0.024553484
1,10,300,0.250019521,0.023858691
1,10,200,0.230627844,0.020156895
1,10,150,0.220333591,0.01719794
1,10,125,0.175655552,0.014794222
1,10,100,0.146954584,0.011190047
1,10,75,0.108634702,0.008535457
1,10,50,0.067021096,0.005706471
1,10,25,0.040883433,0.002748802
1,10,0,0.027756055,-0.000624844
2,10,600,0.246066104,0.014457059
2,10,400,0.205812041,0.013634013
2,10,300,0.18341971,0.012642296
2,10,200,0.161957589,0.010969247
2,10,150,0.143246716,0.010088134
2,10,125,0.122362392,0.009582408
2,10,100,0.087522654,0.008732635
2,10,75,0.073468383,0.007401936
2,10,50,0.052003377,0.005359328
2,10,25,0.034649554,0.002410655
2,10,0,0.021679664,-0.000652269
3,10,600,0.246066104,0.014457059
3,10,400,0.205812041,0.013634013
3,10,300,0.18341971,0.012642296
3,10,200,0.161957589,0.010969247
3,10,150,0.143246716,0.010088134
3,10,125,0.122362392,0.009582408
3,10,100,0.087522654,0.008732635
3,10,75,0.073468383,0.007401936
3,10,50,0.052003377,0.005359328
3,10,25,0.034649554,0.002410655
3,10,0,0.021679664,-0.000652269
